	overall	price	reviewLength	reviewWords	usefulness	avgWordLength	expresiveness	ratingDelta	priceDelta	sentiment
overall	1.0	0.026995631001899677	-0.08816526358163439	-0.09172932556202973	-0.042577724889084	0.07964155583331722	-0.09172932556251495	1.0000000000126337	0.026995631001897218	0.44929207187898823
price	0.026995631001899677	1.0	0.13431589551426432	0.13254004975471964	0.08506361682222051	0.038646018766918026	0.13254004975497902	0.026995631002094064	0.9999999999996272	0.04323282766290846
reviewLength	-0.08816526358163439	0.13431589551426432	1.0	0.9973786879961993	0.20992302839044757	0.0060506606586195845	0.9973786879977529	-0.08816526358227525	0.1343158955142059	0.04220013446902431
reviewWords	-0.09172932556202973	0.13254004975471964	0.9973786879961993	1.0	0.20952321952341396	-0.037147161132554125	0.9999999999987984	-0.09172932556261577	0.13254004975467606	0.040065152927128936
usefulness	-0.042577724889084	0.08506361682222051	0.20992302839044757	0.20952321952341396	1.0	0.008219373840431933	0.20952321952370617	-0.04257772488977161	0.08506361682217595	0.00046379180197822766
avgWordLength	0.07964155583331722	0.038646018766918026	0.0060506606586195845	-0.037147161132554125	0.008219373840431933	1.0	-0.03714716113258704	0.07964155583362736	0.03864601876689558	0.06347845662365328
expresiveness	-0.09172932556251495	0.13254004975497902	0.9973786879977529	0.9999999999987984	0.20952321952370617	-0.03714716113258704	1.0	-0.09172932556318497	0.13254004975492584	0.04006515292721251
ratingDelta	1.0000000000126337	0.026995631002094064	-0.08816526358227525	-0.09172932556261577	-0.04257772488977161	0.07964155583362736	-0.09172932556318497	1.0	0.026995631002093897	0.4492920718823456
priceDelta	0.026995631001897218	0.9999999999996272	0.1343158955142059	0.13254004975467606	0.08506361682217595	0.03864601876689558	0.13254004975492584	0.026995631002093897	1.0	0.04323282766289593
sentiment	0.44929207187898823	0.04323282766290846	0.04220013446902431	0.040065152927128936	0.00046379180197822766	0.06347845662365328	0.04006515292721251	0.4492920718823456	0.04323282766289593	1.0
