,asin,helpful,reviewText,overall,reviewTime,title,price,brand,reviewLength,reviewWords,usefulness,avgWordLength,expresiveness,ratingDelta,priceDelta,sentiment
0,B002IBFUNG,"[3, 3]","I may update later with a less glowing review, after having some time on these.But for now... I just installed these on a 2009 E92 M3 Coupe. The halogens right side went out, and so I bought a pair of these to replace, having read TONS of reviews that said the LED stuff just would not be bright enough in the daytime, because the new BMW's LED halo eyes had different light tunnelling technology, and my halo light tunnels were more suited for the halogen wavelengths or brightness pattern.So instead of stock halogen, being disappointed that I could not achieve modern BMW white brightness ala LED, I got the PIAA extreme yellow.Install was quick. Watched a couple youtube videos (best tip was make sure the lights are TURNED OFF before starting, no need to disconnect battery) on how to replace the lamps and I was done in 20 min from start to finish and I have big hands and those light compartments are SMALL!Upon powerup, the lights were a deep orange... very close in color to the parking lights. I was like huh... thought they would be more yellow, but fine, orange is quite cool too , my paint is jet black.After about 5 min, the color had turned to a bright yellow... so maybe the bulbs had to burn in a bit. The yellow is quite bright and deep in it's yellow-ness, and I was quite pleased at the contrast between that yellow and the bi-xenon headlight projectors. It looks really cool imho, a nice contrast. Much better than the halogen pale yellow.Tried to take a pic but the brightness is so high that it comes out as pure white in the picture... only our human eyes have that much dynamic range.Very highly recommended for the factory halogen angel eyes, preLED. I hope they last long as other reviews said these would burn out quick.I will post if that happens, meanwhile, these are quite pleasing to the eye, and much cheaper than H8 LED  lamps.Highly recommended.p.s. both driver and passenger bulbs do turn clockwise to remove, and counter clockwise to install. The driver side is easier on the M3 due to the fact that the bulb starts at 1100 and you turn to 0300 ... the passenger starts at 0100 and turns to like 0400... bit harder but totally doable. Just get your hands in there and be careful.I used a rubber glove to hold the new bulb so as not to get finger grease and ruin the glass.",5.0,"09 5, 2013",PIAA 18535 H8 Plasma Ion Yellow Bulb - Twin Pack,59.84,Piaa,2309,434,1.0,5.320276497695851,7.172854323767832,1.1946105790109216,1.0260362875098494,1.0
1,B0015A711K,"[4, 4]","I bought two of these units to hook up to my Chamberlain door opener. I liked the fact that you do not need to use the included AC adapter if you have a compatible door opener. I found it odd that there are no instructions included to hook them up to the garage door opener, but I did find in the product details that they just hook up to the two terminals that the safety eyes hook up to.Installation was a breeze and they work great. They only come on when the safety beam is interrupted and stay on for a couple minutes after that. Beam is bright enough for me to see on the black dashboard of both our vehicles.",5.0,"12 30, 2012",Chamberlain CLULP1 Universal Laser Garage Parking Assist,19.98,Chamberlain,615,122,1.0,5.0409836065573765,2.0163323214278237,1.1946105790109216,0.34258364011441833,0.9999657869338989
2,B00011UYJU,"[4, 4]","I have a cocktail style video arcade machine and I accidentally placed a fairly strong magnet on it for a full 24 hours. The screen colors looked all wrong, and I was sad that I had messed up a prized possession.I didn't know if the degaussing would work, since some of the online reviews I read stated that it won't work if the damage was due to a strong magnet.Well, I plugged in the degaussing coil, waved it over the screen for about 10 seconds (following the directions that came with it), and it worked like a charm!The colors are all back to normal now. I'm very happy with the results.",5.0,"08 14, 2009","GC Waldom Degaussing Coil, 9317, For Color CRT, Hi Power",63.36,WALDOM ELECTRONICS CORP,593,117,1.0,5.068376068376068,1.9336957508775032,1.1946105790109216,1.086391363245723,0.9549367427825928
3,B000O5DZLM,"[1, 1]",Ordered this in June of 2012 and put it in my Toyota Tacoma myself; not hard to do but it took a while and you have to be sure the bumper's reinstalled evenly.  Also mechanics gloves are a good idea since you're working around a lot of sharp metal in the truck's bodywork.,5.0,"03 3, 2013",Draw-Tite 75236 Max-Frame Class III 2&quot; Square Receiver Hitch,155.04,Draw-Tite,272,56,1.0,4.857142857142857,0.9255295901635912,1.1946105790109216,2.6583667449118824,0.9985330104827881
4,B000SYODOW,"[1, 8]",I HAVE YET TO USE THE CRADLE AS I HAVE MODIFIED IT FOR A STUDEBAKER ENGINE,5.0,"12 21, 2009",1000lb Capacity Engine Cradle Dolly for Ford,30.24,Neiko,74,16,0.125,4.625,0.2644370257610261,1.1946105790109216,0.5185049688218223,0.5
5,B00407RRBY,"[2, 2]",don't forget the clear top coat - matched Nissan's paint perfectly - used it to paint a replacement mirror cover,5.0,"12 20, 2013",Dupli-Color BNS0582 Sapphire Blue Metallic Nissan Exact-Match Automotive Paint - 8 oz. Aerosol,8.99,Dupli-Color,112,20,1.0,5.6,0.3305462822012826,1.1946105790109216,0.1541454917231542,0.9999985694885254
6,B000BBUH8S,"[1, 1]","Arrived as expected. When I first saw it I was not impressed, just did not think I would like the look when installed. I was wrong and it looks good. It resembles a clear oem filler and with the nice looking vanity plate underneath it actually looks nice. The only complaint I have is that it captures moisture and condensation inside. I could probably apply a small bead of silicone and seal it but do not want to gunk up my beautiful car. It seems to dry out ok, but I am concerned about the moisture so will keep my eye on it.",4.0,"12 7, 2012",1997-2004 Corvette Front License Plate Cover,29.95,Corvette Central,529,103,1.0,5.135922330097087,1.7023133533366055,0.9556884632087372,0.5135325336049463,0.0012979507446289062
7,B009AQS4IU,"[1, 1]","After reading the reviews, I was slightly concerned that these license plate frames would not have the enamel paint on them.  I have seen photos of this plate frame that is entirely chrome, the difference being the flowers are three dimensional rather than flat.  Either way, I liked  them so I took a chance and ordred them.  They fit reall  well and look amazing on my car.  It would have been nice if screws and screw caps were included (they were not) so I ordered them separately.  If you would like to add a nice, light feminine touch to your vehicle, I definitely recommend these daiisy license plate frames.  Much more unique than the blingy sparkly things. :)",5.0,"04 28, 2014",Cruiser Accessories 19130 Chrome 'Daisy' License Frame,12.26,Cruiser Accessories,668,117,1.0,5.7094017094017095,1.9336957508775032,1.1946105790109216,0.21021398537551395,1.0
8,B00BHQJKKM,"[2, 3]","Great product, very sturdy. This is for someone who shifts quickly, if you like to rest your hand on the shifter, get a round one, but if you shift and then rest your hand on the steering wheel, it is perfect!!!",5.0,"03 6, 2014",Honda / Acura 5 Speed JDM Mugen Style Aluminum Shift Knob - Gunmetal,26.88,Mugen,211,41,0.6666666666666666,5.146341463414634,0.6776198785126294,1.1946105790109216,0.4608933056193976,0.9999648332595825
9,B002JTWRN8,"[2, 2]",This adjustable cup holder is fantastic.  It unique adjustable design allows it to fit in several differnt sized cup holders and still functions as neccessary.  I have the new samsung galaxy s4 and this phone holder has plenty more size to hold an even larger device if needed.,5.0,"10 23, 2013","Macally MCUP Adjustable Automobile Cup Holder for iPhone, iPod, Smartphones, MP3 and GPS - Black",12.95,Macally,277,48,1.0,5.770833333333332,0.7933110772830783,1.1946105790109216,0.22204495192601187,1.0
